Scenario,LambdaScale,NetBenefit_BUSD,AvoidedLoss_BUSD,NetBenefit_pct_of_baseline_loss,CapacityWeightedOptimalDv_ms,GuangdongOffshoreOptimalDv_ms
Hist,0.8,0.169197094321,0.257341493008425,45.9127017271037,6.89040201473743,7
N-SSP1,0.8,1.42423254756139,1.98445532367623,59.592985016715,7.64462592202318,11
N-SSP2,0.8,1.45711464671653,2.00065234527574,60.0034395744176,7.52711832889109,11
N-SSP5,0.8,1.58188397465265,2.16250735019275,60.8959163620131,7.81804376123474,11
F-SSP1,0.8,2.32431801615902,3.17173719379934,60.6129742417622,8.21049256190033,11
F-SSP2,0.8,3.01717033249712,3.99698476496269,64.5674004578436,8.60122915249466,13
F-SSP5,0.8,5.13388984866959,6.43509262491716,71.5523285694175,8.90725408933853,15
Hist,1,0.148599406725958,0.239724367180315,40.3233889164176,6.39901363414653,6
N-SSP1,1,1.2963578024843,1.90488026791718,54.2424277776998,6.81952065143057,10
N-SSP2,1,1.32699204092717,1.93551450636005,54.6450390317137,6.81952065143057,10
N-SSP5,1,1.44435425801269,2.08781264495337,55.6015975270068,7.13876836298271,10
F-SSP1,1,2.1233478461153,3.09869115633774,55.3721252462565,7.54702413138337,11
F-SSP2,1,2.78655908769251,3.8765149001847,59.6323232323368,8.20986381298492,12
F-SSP5,1,4.83152819343837,6.29567824245896,67.3382372780932,9.3841383070562,14
Hist,1.2,0.130825671518127,0.228688364761183,35.5003734476918,5.91546278887117,6
N-SSP1,1.2,1.18246449158528,1.82307647811831,49.4768841299784,6.35005477525793,9
N-SSP2,1.2,1.21132527907915,1.86761300943908,49.8819247695961,6.43622361385896,9
N-SSP5,1.2,1.32153573978919,2.00885395664955,50.8735982974257,6.46346040682602,10
F-SSP1,1.2,1.94408559314132,2.95817585903569,50.697369792617,6.557536813249,10
F-SSP2,1.2,2.58067709256982,3.78502276731888,55.2264515840018,7.46451969870352,11
F-SSP5,1.2,4.5558549942098,6.13766060731723,63.4961097859934,8.55364850742878,13
