Scenario,DeltaV_ms,AvoidedLoss_BUSD,RetrofitCost_BUSD,NetBenefit_BUSD,AvoidedLoss_pct,NetBenefit_pct_of_baseline_loss
Hist,0,0,0,0,0,0
N-SSP1,0,0,0,0,0,0
N-SSP2,0,0,0,0,0,0
N-SSP5,0,0,0,0,0,0
F-SSP1,0,0,0,0,0,0
F-SSP2,0,0,0,0,0,0
F-SSP5,0,0,0,0,0,0
Hist,1,0.0684603259369417,0.0501062130089873,0.0183541129279545,18.5771424591952,4.9805046340099
N-SSP1,1,0.42441849594824,0.142514092786014,0.281904403162226,17.7585922419526,11.7954928796966
N-SSP2,1,0.434376517204817,0.142514092786014,0.291862424418802,17.8874635303256,12.0187861587418
N-SSP5,1,0.458580592915135,0.142514092786014,0.316066500129121,17.6534346885551,12.1672382204412
F-SSP1,1,0.675822130513321,0.245444473388344,0.430377657124977,17.6239176842547,11.2232791142128
F-SSP2,1,0.803664012712817,0.245444473388344,0.558219539324473,17.1983979769016,11.9458898792518
F-SSP5,1,1.14515399662408,0.245444473388344,0.899709523235737,15.9603025082943,12.5394804565743
Hist,2,0.123741527526507,0.101541781102247,0.02219974642426,33.5780461678742,6.02404160712517
N-SSP1,2,0.777385916436713,0.288745739022625,0.488640177414088,32.5275162049484,20.4457669648555
N-SSP2,2,0.794431166638141,0.288745739022625,0.505685427615516,32.7143801696198,20.8239379570893
N-SSP5,2,0.840510226801793,0.288745739022625,0.551764487779168,32.3561280681016,21.2406248737094
F-SSP1,2,1.23864542048593,0.49687266586769,0.741772754618242,32.3010803360971,19.3437612909852
F-SSP2,2,1.47910312899386,0.49687266586769,0.982230463126172,31.6527850680393,21.0197173727583
F-SSP5,2,2.12594674209366,0.49687266586769,1.62907407622597,29.6298604557688,22.7048197374642
Hist,3,0.168119062059771,0.154306704279779,0.0138123577799927,45.6201708543921,3.74807064770105
N-SSP1,3,1.0694543925603,0.43869493870983,0.630759453850468,44.7482959865152,26.3923463530045
N-SSP2,3,1.09145230975205,0.43869493870983,0.65275737104222,44.9456004468442,26.8803059240041
N-SSP5,3,1.15702678733363,0.43869493870983,0.718331848623796,44.5406917315466,27.6527715527115
F-SSP1,3,1.70502752427233,0.75428457743804,0.950742946834292,44.4632742558166,24.7932328306065
F-SSP2,3,2.04394286506245,0.75428457743804,1.28965828762441,43.7403470596287,27.5986682667349
F-SSP5,3,2.96218381478585,0.75428457743804,2.20789923734781,41.2847092255969,30.7720532258432
Hist,4,0.20354527644407,0.208400982541583,-0.00485570609751249,55.233298200781,-1.3176265622305
N-SSP1,4,1.309865709328,0.592361691847632,0.717504017480365,54.8076279562254,30.0219274137161
N-SSP2,4,1.33530432614393,0.592361691847632,0.742942634296302,54.987335847447,30.5941015449345
N-SSP5,4,1.41800173468898,0.592361691847632,0.825640042841347,54.5871356056759,31.7836881842335
F-SSP1,4,2.08955368195906,1.01768020809939,1.07187347385966,54.490849625931,27.9520439155942
F-SSP2,4,2.51383636578837,1.01768020809939,1.49615615768898,53.7960610201986,32.0177196297104
F-SSP5,4,3.67183637135024,1.01768020809939,2.65415616325085,51.1753173987701,36.9916495027027
Hist,5,0.231676864242742,0.263824615887659,-0.0321477516449172,62.8669824841519,-8.72349574555842
N-SSP1,5,1.50668741851917,0.749745998436029,0.756941420083142,63.0430760134102,31.6720740463215
N-SSP2,5,1.53454438387693,0.749745998436029,0.784798385440899,63.1919673717576,32.3177058202096
N-SSP5,5,1.63207303101132,0.749745998436029,0.882327032575291,62.8279851023752,33.965900180161
F-SSP1,5,2.40499241556728,1.28705955785175,1.11793285771554,62.71678071717,29.1531688166785
F-SSP2,5,2.90263528490457,1.28705955785175,1.61557572705282,62.1163521346136,34.5732966465495
F-SSP5,5,4.27112257703794,1.28705955785175,2.98406301918619,59.5277216693054,41.5896452620599
